白驹过隙   bai2 ju1 guo4 xi4
白驹空谷   bai2 ju1 null gu3
败军之将   bai4 jun1 zhi1 jiang4
掰开揉碎   bai1 kai1 rou2 sui4
百科全书   bai3 ke1 quan2 shu1
百孔千创   bai3 kong3 qian1 chuang1
百孔千疮   bai3 kong3 qian1 chuang1
百口莫辩   bai3 kou3 mo4 bian4
百口难分   bai3 kou3 nan2 fen1
百口同声   bai3 kou3 tong2 sheng1
白蜡明经   bai2 la4 ming2 jing1
白浪掀天   bai2 lang4 xian1 tian1
摆老资格   bai3 lao3 zi1 ge2
百里挑一   bai3 li3 tiao1 yi1
百里之才   bai3 li3 zhi1 cai2
百里之命   bai3 li3 zhi1 ming4
百炼成刚   bai3 lian4 cheng2 gang1
百炼成钢   bai3 lian4 cheng2 gang1
百了千当   bai3 liao3 qian1 dang1
败鳞残甲   bai4 lin2 can2 jia3
百伶百俐   bai3 ling2 bai3 li4
百龄眉寿   bai3 ling2 mei2 shou4
败柳残花   bai4 liu3 can2 hua1
摆龙门阵   bai3 long2 men2 zhen4
白龙鱼服   bai2 long2 yu2 fu2
白鹿皮币   bai2 lu4 pi2 bi4
白鹭转花   bai2 lu4 zhuan3 hua1
拜洛受图   bai4 luo4 shou4 tu2
百虑一致   bai3 lü4 yi1 zhi4
百虑攒心   bai3 lü4 zan3 xin1
白马清流   bai2 ma3 qing1 liu2
白马三郎   bai2 ma3 san1 lang2
白旄黄钺   bai2 mao2 huang2 yue4
白眉赤眼   bai2 mei2 chi4 yan3
百媚千娇   bai3 mei4 qian1 jiao1
摆迷魂阵   bai3 mi2 hun2 zhen4
百密一疏   bai3 mi4 yi1 shu1
白面儒冠   bai2 mian4 ru2 guan1
白面儒生   bai2 mian4 ru2 sheng1
白面书郎   bai2 mian4 shu1 lang2
